FIN_GBR FIN_TSI FIN_YRI GBR_TSI GBR_YRI TSI_YRI
ENSG00000237683 0 0.0399610393277781 0.19416662680296 0.0264872367335169 0.168033905131839 0.050654699470156
ENSG00000188976 0 0.0213397071219903 0 0.0161489390972924 0.00119924118981449 0.0359712038262639
ENSG00000187961 0.0211424862037729 0.00821127620130199 0.0459469600064089 0 0.120877108863544 0.102410497881362
ENSG00000187583 0.0174255051004445 0.030671633191905 0.0313781438101947 0.000112655266319639 0 0
ENSG00000187642 0.00895111372164042 0.0190337541565107 0 0 0.00601698906078347 0.015015329467132
ENSG00000188290 0.0720133884195169 0.0189768112999889 0.0295942825937405 0.0105405505725622 0.182365746840069 0.0981489845482704
ENSG00000187608 0.0875457771897824 0.0498148312061089 0.116548708954319 0 0 0.00602653774771111
ENSG00000188157 0.0492384643632716 0.0210230870731095 0.00581809248393821 0 0.00931888930128597 0
ENSG00000131591 0.00157699722354883 0.00680763659040595 0 0 0 0.00345622150777462
ENSG00000186891 0.206142023143596 0.140591062717101 0.175873191875435 5.49771655191014e-05 0 0
ENSG00000186827 0 0 0.000775827774448775 0 0 0
ENSG00000078808 0.0159250383765939 0 0.00191438710816696 0.00585745980418031 0.0177186988573071 0
ENSG00000176022 0.0473024685001844 0.0307155472403505 0.00358644466730312 0 0.0312269058622324 0.0163392563541384
ENSG00000184163 0.00772099864059796 0.0234142753476451 0.0893757229901978 0.000812102608861505 0.0450020241258425 0.0262071155657781
ENSG00000160087 0 0.00346706396093369 0 0.0131339100269807 0 0.000485302501517532
ENSG00000162572 0.00616169335798919 0 0.0280255462895957 0.0144549149103708 0.0771081866185379 0.0289183304652034
ENSG00000131584 0.0380588423573866 0.0219927313904071 0.00761761158831378 0 0.0528778552907948 0.0409281436367425
ENSG00000169972 0.000546300009246197 0.000328683488405473 0.000458464995488666 0.02370902074755 0.00340414324779231 0.00213411180251592
ENSG00000127054 0 0 0 0 0 0
ENSG00000224051 0 0 0.000518889632989233 0 0 0
ENSG00000169962 0 0.0132676842481112 0 0.0168831314891617 0 0.0104874501895185
ENSG00000107404 0 0 0 0 0 0
ENSG00000162576 0 0.00511952833720854 0.00392021216469583 0 0 0
ENSG00000175756 0 0.0272628140793402 0 0.0183939705696075 0 0.0297574799291868
